X;Stønadstype;Stønadsnavn;Kravtype;Ekstern kravkode (Nav);Antall enheter;SKE prod;Nav;Etableres i INNFRI;Aktive saker i PAK;Oppdragsgiver;Kilde;KT
166;SU EO;Supplerende stønad ektefelle;"Tilbakekreving av feilutbetalt supplerende stønad ektefelle over 67 år
";TILBAKEKREVING_SUPPLERENDE_STOENAD_EKTEFELLE_OVER_67;1;Nei;Manuell;Ja;Nei;Nav;Maskinelt (infotrygd fil);"Tilbakekreving av feilutbetalt supplerende stønad ektefelle over 67 år
"
167;SU EU;Supplerende stønad;Tilbakekreving av feilutbetalt supplerende stønad ektefelle under 67 år;TILBAKEKREVING_SUPPLERENDE_STOENAD_EKTEFELLE_UNDER_67;1;Nei;Manuell;Ja;Nei;Nav;Maskinelt (infotrygd fil);Tilbakekreving av feilutbetalt supplerende stønad ektefelle under 67 år
168;SU UF;Supplerende stønad;Tilbakekreving av feilutbetalt supplerende stønad uførepensjon;TILBAKEKREVING_SUPPLERENDE_STOENAD_UFOEREPENSJON;0;11.3.2026;Maskinell;Ja;Nei;Nav;Maskinelt (OB04);Tilbakekreving av feilutbetalt supplerende stønad uførepensjon
169;SU AP;Supplerende stønad;Tilbakekreving av feilutbetalt supplerende stønad alderspensjon;TILBAKEKREVING_SUPPLERENDE_STOENAD_ALDERSPENSJON;0;11.3.2026;Maskinell;Ja;Nei;Nav;Maskinelt (OB04);Tilbakekreving av feilutbetalt supplerende stønad alderspensjon
170;OM OM;Omstillingsstønad;Tilbakekreving av feilutbetalt omstillingsstønad ;TILBAKEKREVING_OMSTILLINGSSTOENAD;0;11.3.2026;Maskinell;Ja;Nei;Nav;Maskinelt (OB04);Tilbakekreving av feilutbetalt omstillingsstønad 
171;OM OM;Omstillingsstønad- etteroppgjør;Tilbakekreving av for mye utbetalt omstillingsstønad ─ etteroppgjør;TILBAKEKREVING_OMSTILLINGSSTOENAD_ETTEROPPGJOER;0;11.3.2026;Maskinell;Ja;Nei;Nav;Maskinelt (OB04);Tilbakekreving av for mye utbetalt omstillingsstønad ─ etteroppgjør
172;FR SN;Kompensasjon næring og frilans;Tilbakekreving av feilutbetalt kompensasjon næring og frilans;TILBAKEKREVING_KOMPENSASJON_NAERING_OG_FRILANS;0;11.3.2026;Maskinell;Ja;Nei;Nav;Maskinelt (OB04);Tilbakekreving av feilutbetalt kompensasjon næring og frilans
173;LK LK;Lønnskompensasjon;Tilbakekreving av feilutbetalt lønnskompensasjon for person;TILBAKEKREVING_PERMITTERINGSPENGER_KORONA;0;11.3.2026;Maskinell;Ja;Nei;Nav;Maskinelt (OB04);Tilbakekreving av feilutbetalt lønnskompensasjon for person
174;LK RF;Refusjon for lønnskompensasjon;Tilbakekreving av feilutbetalt lønnskompensasjon for næring;TILBAKEKREVING_LOENNSKOMPENSASJON;0;11.3.2026;Maskinell;Ja;Nei;Nav;Maskinelt (OB04);Tilbakekreving av feilutbetalt lønnskompensasjon for næring
175;PE GP;Gjenlevende pensjon;Tilbakekreving av feilutbetalt gjenlevende pensjon-avregning;TILBAKEKREVING_GJENLEVENDE_PENSJON_AVREGNING;0;11.3.2026;Maskinell;Ja;Nei;Nav;Maskinelt (OB04);Tilbakekreving av feilutbetalt gjenlevende pensjon-avregning
176;PE GP;Gjenlevende pensjon;Tilbakebetaling av feilutbetalt gjenlevende pensjon;TILBAKEKREVING_GJENLEVENDE_PENSJON;0;11.3.2026;Maskinell;Ja;Nei;Nav;Maskinelt (OB04);Tilbakebetaling av feilutbetalt gjenlevende pensjon
177;PE EO;Enslig forsørger, overgst.;0;0;0;Nei;Manuell;Nei;Nei;Nav;Manuelt i PAK;Enslig forsørger, overgst.
178;PE EU;Enslig forsørger, utdanningsst.;0;0;0;Nei;Manuell;Nei;Nei;Nav;?;Enslig forsørger, utdanningsst.
179;FU FU;Tiltak ung;Tilbakekreving av feilutbetalt ytelse til deltakere i ungdomsprogrammet;TILBAKEKREVING_UNGDOMSPROGRAMYTELSEN;0;11.3.2026;Maskinell;Ja;Nei;Nav;Maskinelt (ny høst 25);Tilbakekreving av feilutbetalt ytelse til deltakere i ungdomsprogrammet
180;PE GR;Grunnblankett;0;0;0;Nei;Manuell;Nei;Nei;Nav;?;Grunnblankett
181;PE GS;Grunnstønad;0;0;0;Nei;Manuell;Nei;Nei;Nav;Manuelt i PAK;Grunnstønad
182;MO RE;Renter fakturering;0;0;0;Nei;Manuell;Nei;Nei;Nav;?;Renter fakturering
183;PE GU;Gjenl. pensjon utdanningsst.;0;0;0;Nei;Manuell;Nei;Nei;Nav;?;Gjenl. pensjon utdanningsst.
184;PE SJ;Feilutbet. tj.p. for sjømenn;0;0;0;Nei;Manuell;Nei;Nei;Nav;?;Feilutbet. tj.p. for sjømenn
185;PE ST;Feilutbet. tj.p., st. p.kasse;0;0;0;Nei;Manuell;Nei;Nei;Nav;?;Feilutbet. tj.p., st. p.kasse
186;GE FU;ikke gyldig, gammel kode;0;0;0;Nei;Manuell;Nei;Nei;Nav;Maskinelt (infotrygd fil);ikke gyldig, gammel kode
187;RP VS;ikke gyldig, gammel kode;0;0;0;Nei;Manuell;Nei;Nei;Nav;?;ikke gyldig, gammel kode
188;PE GE;Generell;0;0;0;Nei;Manuell;Nei;Nei;Nav;Pesys;Generell
189;XX XX;"Trygdeytelse
OBS: Dom, se ""Avklaringer Nav""";Krav fra Nav på erstatning fastsatt ved dom ;ERSTATNING_DOM_NAV;0;15.04.2026?;Manuell;Ja;Nei;Nav;Manuelt i PAK;Krav fra Nav på erstatning fastsatt ved dom 
190;AE FO;Erstatning vanlig forelegg;0;0;0;Nei;Manuell;Nei;Nei;Nav;Manuelt i PAK;Erstatning vanlig forelegg
191;NA RE;NAV Regress;Krav på regress fra Nav;0;0;Nei;Manuell;Ja;Nei;Nav;Manuelt i PAK;Krav på regress fra Nav
192;FO YN;Frivillig yrkesskadetrygd;0;0;0;Nei;Manuell;Nei;Nei;Nav;Manuelt i PAK;Frivillig yrkesskadetrygd
